zipcode,house_prices
98001,280804.6906077348
98002,234284.0351758794
98003,294111.27857142856
98004,1355927.0820189274
98005,810164.875
98006,859684.7791164658
98007,617105.085106383
98008,645507.3780918728
98010,423665.99
98011,490351.4666666667
98014,455617.1129032258
98019,424788.74736842106
98022,315709.30341880344
98023,286732.79158316634
98024,580526.7901234567
98027,616990.5922330098
98028,462480.035335689
98029,612653.6105919003
98030,296187.98046875
98031,300539.8905109489
98032,251296.24
98033,803719.5231481482
98034,521652.8587155963
98038,366867.6
98039,2160606.6
98040,1194230.0212765958
98042,311632.10583941604
98045,439471.0814479638
98052,645231.456445993
98053,678163.0592592593
98055,304262.1082089552
98056,420890.54926108377
98058,353608.63516483514
98059,493552.53205128206
98065,527961.2032258065
98070,487479.6271186441
98072,569958.4652014652
98074,685605.775510204
98075,790576.6545961003
98077,682774.8787878788
98092,334921.0626780627
98102,901258.2666666667
98103,584919.2109634551
98105,862825.2314410481
98106,319581.3940298507
98107,579053.4172932331
98108,355678.51612903224
98109,879623.6238532111
98112,1095499.342007435
98115,619900.5471698113
98116,618634.1696969697
98117,576795.007233273
98118,417637.43307086616
98119,849448.0163043478
98122,634360.1793103449
98125,469455.77073170734
98126,424706.3559322034
98133,386997.3967611336
98136,551688.6730038023
98144,594547.6501457726
98146,359483.2395833333
98148,284908.5964912281
98155,423725.69506726455
98166,464231.8385826772
98168,240328.3717472119
98177,676185.3921568628
98178,310612.75572519086
98188,289078.3455882353
98198,302878.8821428571
98199,791820.807570978
